Fréquence (Hz)	Niveau (dB)
0,976563	-102,649216
1,953125	-94,611809
2,929688	-86,581573
3,906250	-90,290825
4,882813	-88,310310
5,859375	-88,519417
6,835938	-86,713943
7,812500	-97,639626
8,789063	-85,555779
9,765625	-90,001228
10,742188	-85,118500
11,718750	-81,240799
12,695313	-83,711098
13,671875	-88,636963
14,648438	-88,443237
15,625000	-88,320015
16,601563	-81,774689
17,578125	-85,381142
18,554688	-92,869179
19,531250	-86,643456
20,507813	-86,821411
21,484375	-109,602737
22,460938	-89,605225
23,437500	-85,865021
24,414063	-86,393532
25,390625	-85,159203
26,367188	-90,703194
27,343750	-88,649452
28,320313	-117,643044
29,296875	-97,394279
30,273438	-86,718407
31,250000	-90,165894
32,226563	-97,159264
33,203125	-85,560829
34,179688	-88,097275
35,156250	-96,130112
36,132813	-89,059540
37,109375	-94,612221
38,085938	-91,846405
39,062500	-99,799263
40,039063	-94,473381
41,015625	-88,304642
41,992188	-87,997627
42,968750	-92,827827
43,945313	-98,126236
44,921875	-94,571350
45,898438	-104,305573
46,875000	-96,702339
47,851563	-99,346375
48,828125	-106,445969
49,804688	-101,561432
50,781250	-102,869118
51,757813	-114,661774
52,734375	-109,106720
53,710938	-101,142166
54,687500	-104,213455
55,664063	-97,548775
56,640625	-94,148468
57,617188	-100,061905
58,593750	-91,388573
59,570313	-91,011192
60,546875	-95,980751
61,523438	-89,096901
62,500000	-84,889481
63,476563	-92,565750
64,453125	-95,214966
65,429688	-89,112694
66,406250	-84,684021
67,382813	-83,665062
68,359375	-79,210426
69,335938	-82,302277
70,312500	-89,952744
71,289063	-82,574379
72,265625	-79,949608
73,242188	-84,224586
74,218750	-80,646271
75,195313	-84,585464
76,171875	-87,646461
77,148438	-85,612640
78,125000	-78,637100
79,101563	-76,111519
80,078125	-76,129128
81,054688	-86,141418
82,031250	-86,521080
83,007813	-78,643211
83,984375	-73,049446
84,960938	-78,594528
85,937500	-83,910057
86,914063	-78,973343
87,890625	-76,000648
88,867188	-78,095558
89,843750	-83,994484
90,820313	-82,775803
91,796875	-80,544571
92,773438	-77,688278
93,750000	-79,368889
94,726563	-73,838135
95,703125	-70,565742
96,679688	-73,186470
97,656250	-77,054977
98,632813	-78,051811
99,609375	-72,672539
100,585938	-74,527267
101,562500	-73,051582
102,539063	-71,235466
103,515625	-79,912079
104,492188	-81,230751
105,468750	-76,008827
106,445313	-77,071999
107,421875	-83,475182
108,398438	-85,488754
109,375000	-79,899567
110,351563	-78,160126
111,328125	-92,663925
112,304688	-72,407135
113,281250	-74,388008
114,257813	-97,127342
115,234375	-77,721024
116,210938	-81,098930
117,187500	-77,485069
118,164063	-81,137260
119,140625	-69,643623
120,117188	-65,708694
121,093750	-78,987038
122,070313	-64,567062
123,046875	-61,118767
124,023438	-62,135498
125,000000	-62,221951
125,976563	-61,226944
126,953125	-62,841942
127,929688	-63,039219
128,906250	-64,086655
129,882813	-68,994484
130,859375	-79,182381
131,835938	-74,295502
132,812500	-75,095825
133,789063	-70,006943
134,765625	-73,749451
135,742188	-79,691269
136,718750	-67,643044
137,695313	-68,860771
138,671875	-78,267723
139,648438	-75,159943
140,625000	-76,487335
141,601563	-93,498154
142,578125	-68,901123
143,554688	-74,510017
144,531250	-73,243370
145,507813	-72,664963
146,484375	-72,486107
147,460938	-70,972527
148,437500	-69,310783
149,414063	-72,429024
150,390625	-76,765533
151,367188	-69,228989
152,343750	-71,020050
153,320313	-77,028198
154,296875	-77,233047
155,273438	-73,950989
156,250000	-71,934067
157,226563	-68,987679
158,203125	-67,613007
159,179688	-70,570602
160,156250	-91,587051
161,132813	-74,561981
162,109375	-77,643211
163,085938	-77,342255
164,062500	-75,403290
165,039063	-76,244392
166,015625	-80,965309
166,992188	-69,709091
167,968750	-67,522072
168,945313	-76,067749
169,921875	-68,609566
170,898438	-66,239372
171,875000	-71,825409
172,851563	-70,743546
173,828125	-66,542961
174,804688	-67,545715
175,781250	-71,155350
176,757813	-74,212433
177,734375	-76,112808
178,710938	-82,899445
179,687500	-79,103111
180,664063	-73,156593
181,640625	-72,181862
182,617188	-71,760757
183,593750	-70,582062
184,570313	-75,595642
185,546875	-74,764740
186,523438	-72,585388
187,500000	-69,113739
188,476563	-65,465881
189,453125	-66,059471
190,429688	-69,435638
191,406250	-90,432236
192,382813	-74,659363
193,359375	-74,795929
194,335938	-86,658234
195,312500	-71,628387
196,289063	-75,081306
197,265625	-66,089249
198,242188	-69,107376
199,218750	-82,576401
200,195313	-93,447212
201,171875	-83,596222
202,148438	-74,757965
203,125000	-73,288696
204,101563	-75,532646
205,078125	-89,426590
206,054688	-85,431992
207,031250	-75,884705
208,007813	-70,155434
208,984375	-73,121727
209,960938	-84,231285
210,937500	-76,065987
211,914063	-78,524269
212,890625	-71,539360
213,867188	-66,975037
214,843750	-67,073532
215,820313	-75,582787
216,796875	-70,507660
217,773438	-66,671654
218,750000	-71,926331
219,726563	-72,646255
220,703125	-68,152359
221,679688	-78,459244
222,656250	-75,964600
223,632813	-85,237305
224,609375	-70,143272
225,585938	-69,411285
226,562500	-68,362068
227,539063	-73,071609
228,515625	-74,019562
229,492188	-73,956978
230,468750	-70,353966
231,445313	-68,792114
232,421875	-74,683975
233,398438	-71,860703
234,375000	-74,500984
235,351563	-80,218025
236,328125	-70,929527
237,304688	-82,461624
238,281250	-68,884689
239,257813	-67,256371
240,234375	-72,650223
241,210938	-72,314804
242,187500	-74,908791
243,164063	-70,616135
244,140625	-69,310165
245,117188	-71,208084
246,093750	-77,300697
247,070313	-80,714790
248,046875	-75,874107
249,023438	-76,744606
250,000000	-75,433197
250,976563	-71,947151
251,953125	-70,461418
252,929688	-68,538986
253,906250	-69,809258
254,882813	-71,041389
255,859375	-73,176933
256,835938	-75,009064
257,812500	-69,039833
258,789063	-64,503250
259,765625	-67,552444
260,742188	-67,607132
261,718750	-66,605247
262,695313	-77,896019
263,671875	-91,834114
264,648438	-72,976509
265,625000	-70,341339
266,601563	-82,241791
267,578125	-66,396896
268,554688	-67,314407
269,531250	-84,673378
270,507813	-85,425804
271,484375	-67,169121
272,460938	-66,807327
273,437500	-76,335014
274,414063	-64,830124
275,390625	-68,557594
276,367188	-69,326576
277,343750	-74,792732
278,320313	-71,020683
279,296875	-78,636017
280,273438	-69,561165
281,250000	-67,907440
282,226563	-74,411057
283,203125	-69,360504
284,179688	-71,059219
285,156250	-78,722580
286,132813	-79,191109
287,109375	-77,128822
288,085938	-76,467209
289,062500	-73,006088
290,039063	-77,190529
291,015625	-71,593109
291,992188	-73,012215
292,968750	-78,907455
293,945313	-77,722023
294,921875	-87,175415
295,898438	-78,599312
296,875000	-72,433060
297,851563	-72,228134
298,828125	-77,655952
299,804688	-71,972771
300,781250	-85,563499
301,757813	-78,772377
302,734375	-80,613800
303,710938	-77,540527
304,687500	-70,860840
305,664063	-77,601631
306,640625	-72,696663
307,617188	-77,897118
308,593750	-77,971825
309,570313	-77,815063
310,546875	-79,034927
311,523438	-78,744598
312,500000	-75,573029
313,476563	-87,527634
314,453125	-79,474648
315,429688	-77,012321
316,406250	-73,720993
317,382813	-76,476593
318,359375	-77,264030
319,335938	-80,398453
320,312500	-76,837090
321,289063	-72,245369
322,265625	-70,236229
323,242188	-78,814468
324,218750	-75,931976
325,195313	-78,613976
326,171875	-71,018951
327,148438	-70,964691
328,125000	-73,353844
329,101563	-73,353271
330,078125	-71,094238
331,054688	-74,783752
332,031250	-87,397217
333,007813	-80,380264
333,984375	-75,555687
334,960938	-71,655296
335,937500	-79,568733
336,914063	-80,647102
337,890625	-74,363335
338,867188	-73,642120
339,843750	-74,833092
340,820313	-73,221672
341,796875	-74,835396
342,773438	-85,323051
343,750000	-75,339882
344,726563	-73,497116
345,703125	-74,537148
346,679688	-71,849182
347,656250	-72,227089
348,632813	-73,221695
349,609375	-73,512367
350,585938	-80,326637
351,562500	-87,988380
352,539063	-83,805321
353,515625	-90,085159
354,492188	-81,563492
355,468750	-74,069206
356,445313	-67,813232
357,421875	-72,690247
358,398438	-82,537941
359,375000	-80,180145
360,351563	-78,933388
361,328125	-76,705505
362,304688	-73,594009
363,281250	-75,659622
364,257813	-74,894821
365,234375	-69,851555
366,210938	-69,127464
367,187500	-75,123146
368,164063	-73,178017
369,140625	-75,555939
370,117188	-72,233917
371,093750	-74,149582
372,070313	-79,660080
373,046875	-80,722717
374,023438	-74,430328
375,000000	-73,339699
375,976563	-77,609886
376,953125	-88,936493
377,929688	-76,426270
378,906250	-72,341515
379,882813	-75,180588
380,859375	-96,477425
381,835938	-89,904007
382,812500	-80,768089
383,789063	-75,271835
384,765625	-74,748405
385,742188	-97,011269
386,718750	-72,829529
387,695313	-72,391953
388,671875	-79,037102
389,648438	-81,875046
390,625000	-79,309311
391,601563	-85,876274
392,578125	-78,602234
393,554688	-75,652527
394,531250	-74,114189
395,507813	-76,431030
396,484375	-76,238609
397,460938	-82,102921
398,437500	-77,231064
399,414063	-73,746620
400,390625	-72,410446
401,367188	-81,341011
402,343750	-74,957764
403,320313	-73,634842
404,296875	-73,498535
405,273438	-77,499535
406,250000	-82,127327
407,226563	-88,621475
408,203125	-79,725227
409,179688	-78,240540
410,156250	-78,964340
411,132813	-80,779221
412,109375	-86,271240
413,085938	-88,595741
414,062500	-77,706078
415,039063	-77,981911
416,015625	-82,956413
416,992188	-79,701866
417,968750	-76,579117
418,945313	-82,797066
419,921875	-80,458893
420,898438	-81,317551
421,875000	-74,236885
422,851563	-72,250130
423,828125	-79,198647
424,804688	-92,815742
425,781250	-78,789619
426,757813	-78,109695
427,734375	-85,036804
428,710938	-80,077263
429,687500	-74,836403
430,664063	-74,023338
431,640625	-74,494560
432,617188	-79,825691
433,593750	-80,766975
434,570313	-74,344856
435,546875	-72,837997
436,523438	-75,495720
437,500000	-90,355431
438,476563	-79,621513
439,453125	-90,170486
440,429688	-74,910721
441,406250	-78,521912
442,382813	-81,686951
443,359375	-81,892570
444,335938	-87,773338
445,312500	-77,074303
446,289063	-70,722916
447,265625	-69,713676
448,242188	-75,824394
449,218750	-76,543808
450,195313	-83,166962
451,171875	-79,523209
452,148438	-77,782806
453,125000	-84,138397
454,101563	-79,972557
455,078125	-75,496880
456,054688	-72,473732
457,031250	-72,843117
458,007813	-84,512039
458,984375	-78,037910
459,960938	-75,193237
460,937500	-72,960869
461,914063	-74,587471
462,890625	-78,972946
463,867188	-73,579903
464,843750	-76,602875
465,820313	-81,748024
466,796875	-76,110046
467,773438	-73,403061
468,750000	-79,218269
469,726563	-75,681023
470,703125	-79,110886
471,679688	-82,493614
472,656250	-76,786270
473,632813	-78,526054
474,609375	-80,984192
475,585938	-72,327560
476,562500	-72,569748
477,539063	-75,093925
478,515625	-79,842064
479,492188	-71,718216
480,468750	-70,855629
481,445313	-81,654823
482,421875	-95,006516
483,398438	-76,037857
484,375000	-76,015030
485,351563	-81,990898
486,328125	-75,656532
487,304688	-70,461250
488,281250	-72,149742
489,257813	-71,539513
490,234375	-73,556007
491,210938	-81,890190
492,187500	-74,078156
493,164063	-76,331085
494,140625	-85,244499
495,117188	-75,191681
496,093750	-84,758583
497,070313	-85,405945
498,046875	-95,236900
499,023438	-76,351234
500,000000	-74,691353
500,976563	-74,999199
501,953125	-72,480110
502,929688	-79,012993
503,906250	-82,150703
504,882813	-79,869843
505,859375	-78,596619
506,835938	-78,908585
507,812500	-87,584816
508,789063	-84,701523
509,765625	-75,693581
510,742188	-75,619102
511,718750	-100,636383
512,695313	-73,947060
513,671875	-71,773903
514,648438	-77,944565
515,625000	-79,833908
516,601563	-73,056625
517,578125	-77,010490
518,554688	-84,359673
519,531250	-83,702972
520,507813	-100,887611
521,484375	-90,866486
522,460938	-79,409225
523,437500	-71,600510
524,414063	-73,653542
525,390625	-87,157104
526,367188	-84,266853
527,343750	-85,785622
528,320313	-97,981117
529,296875	-82,994507
530,273438	-74,609009
531,250000	-71,964989
532,226563	-72,098557
533,203125	-75,673454
534,179688	-78,203026
535,156250	-69,695244
536,132813	-73,235428
537,109375	-81,145470
538,085938	-82,617607
539,062500	-73,980247
540,039063	-76,246826
541,015625	-95,793564
541,992188	-111,048370
542,968750	-80,347908
543,945313	-85,906898
544,921875	-79,948288
545,898438	-82,868813
546,875000	-71,850182
547,851563	-75,361572
548,828125	-78,447777
549,804688	-73,143394
550,781250	-76,301552
551,757813	-85,780136
552,734375	-76,731590
553,710938	-80,676529
554,687500	-84,519051
555,664063	-81,865898
556,640625	-80,180717
557,617188	-75,271080
558,593750	-82,147202
559,570313	-92,035896
560,546875	-72,582520
561,523438	-72,977859
562,500000	-81,018829
563,476563	-87,417549
564,453125	-75,917038
565,429688	-77,045387
566,406250	-86,310364
567,382813	-79,969032
568,359375	-80,442833
569,335938	-77,150597
570,312500	-77,718689
571,289063	-77,336044
572,265625	-73,337181
573,242188	-79,397804
574,218750	-76,769836
575,195313	-82,468262
576,171875	-81,754059
577,148438	-83,176414
578,125000	-76,357079
579,101563	-82,414207
580,078125	-98,179604
581,054688	-82,980698
582,031250	-76,858124
583,007813	-72,292290
583,984375	-74,078011
584,960938	-79,889183
585,937500	-77,736397
586,914063	-78,487152
587,890625	-80,948387
588,867188	-82,745872
589,843750	-74,777290
590,820313	-76,471893
591,796875	-94,680344
592,773438	-77,084595
593,750000	-74,632149
594,726563	-75,669739
595,703125	-80,219246
596,679688	-71,818695
597,656250	-75,242859
598,632813	-87,739250
599,609375	-91,038261
600,585938	-86,372040
601,562500	-75,226974
602,539063	-74,111702
603,515625	-79,133926
604,492188	-81,916740
605,468750	-75,376686
606,445313	-73,397629
607,421875	-72,635315
608,398438	-86,898582
609,375000	-75,255753
610,351563	-81,714821
611,328125	-77,546219
612,304688	-92,073761
613,281250	-80,138206
614,257813	-79,873848
615,234375	-78,367622
616,210938	-85,214043
617,187500	-78,575096
618,164063	-75,536346
619,140625	-78,353119
620,117188	-88,522034
621,093750	-79,606232
622,070313	-76,067688
623,046875	-78,460762
624,023438	-97,042725
625,000000	-83,032578
