Fréquence (Hz)	Niveau (dB)
0,183105	-87,794724
0,366211	-90,903160
0,549316	-76,130318
0,732422	-70,993431
0,915527	-74,083954
1,098633	-75,418114
1,281738	-65,720802
1,464844	-69,601433
1,647949	-70,987137
1,831055	-68,788940
2,014160	-63,284077
2,197266	-64,246490
2,380371	-62,808960
2,563477	-65,118843
2,746582	-60,706982
2,929688	-60,805172
3,112793	-63,772995
3,295898	-58,329174
3,479004	-60,485489
3,662109	-60,223324
3,845215	-60,824959
4,028320	-70,009483
4,211426	-67,306480
4,394531	-58,264584
4,577637	-59,808361
4,760742	-62,640171
4,943848	-59,521954
5,126953	-64,546394
5,310059	-63,206097
5,493164	-64,261452
5,676270	-60,551674
5,859375	-63,919701
6,042480	-59,361160
6,225586	-57,312016
6,408691	-56,983200
6,591797	-60,574764
6,774902	-60,833588
6,958008	-62,415154
7,141113	-59,990253
7,324219	-58,408909
7,507324	-58,340687
7,690430	-56,398186
7,873535	-58,638866
8,056641	-63,994720
8,239746	-58,660370
8,422852	-53,593243
8,605957	-57,228912
8,789063	-60,439037
8,972168	-58,167881
9,155273	-58,483788
9,338379	-60,905869
9,521484	-59,707489
9,704590	-57,716011
9,887695	-58,215176
10,070801	-55,663250
10,253906	-56,221615
10,437012	-59,015594
10,620117	-59,101433
10,803223	-58,399715
10,986328	-57,864311
11,169434	-57,423897
11,352539	-55,374516
11,535645	-59,056667
11,718750	-61,133034
11,901855	-56,355652
12,084961	-63,272640
12,268066	-57,717728
12,451172	-59,058895
12,634277	-61,072121
12,817383	-59,511429
13,000488	-55,759140
13,183594	-58,290363
13,366699	-64,608360
13,549805	-59,044537
13,732910	-56,680237
13,916016	-61,005863
14,099121	-59,786613
14,282227	-62,159702
14,465332	-59,986744
14,648438	-58,140312
14,831543	-57,080444
15,014648	-58,524960
15,197754	-60,298389
15,380859	-55,628437
15,563965	-53,808273
15,747070	-55,413528
15,930176	-60,796616
16,113281	-63,446289
16,296387	-61,195244
16,479492	-57,157696
16,662598	-59,792454
16,845703	-61,196976
17,028809	-62,325909
17,211914	-59,587475
17,395020	-61,100975
17,578125	-64,325706
17,761230	-59,125847
17,944336	-57,236073
18,127441	-57,989521
18,310547	-64,384254
18,493652	-63,002113
18,676758	-62,243813
18,859863	-58,321190
19,042969	-60,535042
19,226074	-55,248112
19,409180	-53,670052
19,592285	-61,398880
19,775391	-63,519005
19,958496	-63,118095
20,141602	-63,939323
20,324707	-58,260082
20,507813	-55,853027
20,690918	-57,235279
20,874023	-55,659828
21,057129	-63,960495
21,240234	-61,908905
21,423340	-60,876789
21,606445	-60,407192
21,789551	-62,752758
21,972656	-64,828323
22,155762	-67,960892
22,338867	-63,090763
22,521973	-60,762814
22,705078	-61,031914
22,888184	-57,967133
23,071289	-58,287907
23,254395	-61,130035
23,437500	-59,297264
23,620605	-62,415405
23,803711	-59,309887
23,986816	-64,528496
24,169922	-57,713360
24,353027	-62,377380
24,536133	-62,662727
24,719238	-60,582645
24,902344	-58,912369
25,085449	-61,128872
25,268555	-58,078739
25,451660	-58,101917
25,634766	-59,184055
25,817871	-62,010029
26,000977	-59,324577
26,184082	-58,977581
26,367188	-61,692760
26,550293	-61,206383
26,733398	-56,817898
26,916504	-58,732857
27,099609	-61,164486
27,282715	-59,030148
27,465820	-59,059006
27,648926	-62,673519
27,832031	-63,130634
28,015137	-63,175117
28,198242	-59,651817
28,381348	-58,613037
28,564453	-62,951305
28,747559	-62,505417
28,930664	-67,794128
29,113770	-66,049545
29,296875	-66,787735
29,479980	-64,201920
29,663086	-65,437347
29,846191	-57,691547
30,029297	-58,305393
30,212402	-68,050400
30,395508	-59,894047
30,578613	-58,995007
30,761719	-62,845139
30,944824	-65,041847
31,127930	-66,329582
31,311035	-68,006294
31,494141	-58,971901
31,677246	-57,795837
31,860352	-59,514061
32,043457	-60,490082
32,226563	-60,014591
32,409668	-66,560623
32,592773	-61,953568
32,775879	-62,005978
32,958984	-64,972130
33,142090	-69,972382
33,325195	-69,890022
33,508301	-68,117943
33,691406	-66,169769
33,874512	-66,198059
34,057617	-62,915730
34,240723	-64,238144
34,423828	-65,490326
34,606934	-65,473656
34,790039	-68,186218
34,973145	-62,722198
35,156250	-59,484062
35,339355	-62,737061
35,522461	-65,127396
35,705566	-65,781303
35,888672	-62,620598
36,071777	-60,027924
36,254883	-63,293240
36,437988	-72,210892
36,621094	-67,750267
36,804199	-63,478745
36,987305	-61,299168
37,170410	-61,882504
37,353516	-61,974457
37,536621	-62,842724
37,719727	-65,572838
37,902832	-68,064049
38,085938	-67,132133
38,269043	-68,698059
38,452148	-66,790657
38,635254	-63,456451
38,818359	-63,086445
39,001465	-64,577286
39,184570	-63,543739
39,367676	-62,026665
39,550781	-60,587757
39,733887	-61,031540
39,916992	-68,860275
40,100098	-65,980446
40,283203	-68,094269
40,466309	-66,636490
40,649414	-63,605473
40,832520	-68,232132
41,015625	-69,481308
41,198730	-74,302635
41,381836	-74,158302
41,564941	-67,572937
41,748047	-64,788216
41,931152	-65,714409
42,114258	-66,860100
42,297363	-66,768578
42,480469	-67,999191
42,663574	-63,249020
42,846680	-62,780392
43,029785	-64,683037
43,212891	-68,829926
43,395996	-65,270088
43,579102	-64,165459
43,762207	-67,065559
43,945313	-70,024178
44,128418	-68,040779
44,311523	-69,759834
44,494629	-70,108391
44,677734	-69,505455
44,860840	-69,204369
45,043945	-71,081032
45,227051	-73,801399
45,410156	-76,052620
45,593262	-73,469887
45,776367	-69,113525
45,959473	-68,144028
46,142578	-72,424515
46,325684	-73,550919
46,508789	-68,168434
46,691895	-72,092735
46,875000	-65,550522
47,058105	-66,475876
47,241211	-68,220100
47,424316	-71,327911
47,607422	-68,360435
47,790527	-69,079514
47,973633	-70,068329
48,156738	-74,548332
48,339844	-75,454239
48,522949	-69,109909
48,706055	-70,849205
48,889160	-76,256264
49,072266	-75,931770
49,255371	-81,540924
49,438477	-76,650566
49,621582	-75,663284
49,804688	-76,374138
49,987793	-79,299774
50,170898	-81,539246
50,354004	-83,373222
50,537109	-77,620804
50,720215	-82,151344
50,903320	-90,698936
51,086426	-98,283012
51,269531	-87,965874
51,452637	-85,977898
51,635742	-91,087692
51,818848	-93,462585
52,001953	-91,736336
52,185059	-93,150932
52,368164	-87,877998
52,551270	-86,716446
52,734375	-86,274139
52,917480	-86,181595
53,100586	-82,521622
53,283691	-80,529541
53,466797	-91,378609
53,649902	-88,486176
53,833008	-82,738174
54,016113	-79,153496
54,199219	-81,697517
54,382324	-79,941040
54,565430	-78,236229
54,748535	-78,497360
54,931641	-80,048950
55,114746	-84,737106
55,297852	-80,978241
55,480957	-75,522514
55,664063	-73,549400
55,847168	-72,034782
56,030273	-69,603142
56,213379	-68,727158
56,396484	-71,024261
56,579590	-71,384941
56,762695	-69,980225
56,945801	-71,821655
57,128906	-71,468109
57,312012	-76,951622
57,495117	-77,942268
57,678223	-75,386612
57,861328	-70,706497
58,044434	-70,761604
58,227539	-69,119095
58,410645	-69,021240
58,593750	-72,101646
58,776855	-78,944962
58,959961	-73,805771
59,143066	-72,469559
59,326172	-67,688438
59,509277	-64,523071
59,692383	-64,023407
59,875488	-65,359619
60,058594	-64,705544
60,241699	-64,375534
60,424805	-61,955276
60,607910	-65,190979
60,791016	-63,480629
60,974121	-64,743484
61,157227	-66,133827
61,340332	-68,102631
61,523438	-68,017593
61,706543	-67,539307
61,889648	-65,227402
62,072754	-63,668755
62,255859	-63,205856
62,438965	-63,697651
62,622070	-60,607590
62,805176	-61,152248
62,988281	-62,195370
63,171387	-61,719200
63,354492	-64,791374
63,537598	-58,601292
63,720703	-61,872448
63,903809	-63,739052
64,086914	-62,796856
64,270020	-65,970879
64,453125	-64,292999
64,636230	-61,518559
64,819336	-59,718861
65,002441	-63,734215
65,185547	-68,068283
65,368652	-64,012291
65,551758	-62,751629
65,734863	-61,926777
65,917969	-59,631557
66,101074	-62,407921
66,284180	-59,791443
66,467285	-63,946579
66,650391	-60,295341
66,833496	-58,137268
67,016602	-59,134010
67,199707	-56,884624
67,382813	-55,148975
67,565918	-55,365814
67,749023	-57,370491
67,932129	-65,117638
68,115234	-60,172382
68,298340	-61,233116
68,481445	-61,893703
68,664551	-59,446693
68,847656	-60,711933
69,030762	-63,202286
69,213867	-62,180286
69,396973	-61,603554
69,580078	-63,173809
69,763184	-64,132576
69,946289	-68,821114
70,129395	-59,517551
70,312500	-60,372929
70,495605	-59,102879
70,678711	-55,068283
70,861816	-64,243950
71,044922	-65,019089
71,228027	-59,057766
71,411133	-66,970284
71,594238	-61,474503
71,777344	-57,222969
71,960449	-61,326302
72,143555	-59,277645
72,326660	-56,445652
72,509766	-55,688648
72,692871	-56,202160
72,875977	-55,166737
73,059082	-54,372627
73,242188	-55,540714
73,425293	-58,634014
73,608398	-60,835617
73,791504	-66,682869
73,974609	-59,703419
74,157715	-54,024368
74,340820	-50,285488
74,523926	-51,735306
74,707031	-54,278034
74,890137	-55,732567
75,073242	-53,369190
75,256348	-55,110294
75,439453	-51,730984
75,622559	-65,419800
75,805664	-54,668026
75,988770	-54,309250
76,171875	-57,941788
76,354980	-59,307495
76,538086	-63,992702
76,721191	-55,392086
76,904297	-53,939133
77,087402	-59,977058
77,270508	-51,784893
77,453613	-48,872555
77,636719	-49,537464
77,819824	-62,985672
78,002930	-55,235092
78,186035	-54,514656
78,369141	-48,164364
78,552246	-52,206875
78,735352	-53,144024
78,918457	-55,769753
79,101563	-59,889656
79,284668	-51,844322
79,467773	-51,252136
79,650879	-54,363289
79,833984	-52,877975
80,017090	-57,138542
80,200195	-49,480618
80,383301	-49,061707
80,566406	-49,990299
80,749512	-56,674118
80,932617	-54,319851
81,115723	-52,496643
81,298828	-52,625149
81,481934	-53,370461
81,665039	-50,143456
81,848145	-51,359009
82,031250	-52,662567
82,214355	-53,236778
82,397461	-46,505760
82,580566	-49,952854
82,763672	-58,879269
82,946777	-52,357830
83,129883	-50,588085
83,312988	-54,696819
83,496094	-58,495834
83,679199	-55,790672
83,862305	-63,536404
84,045410	-59,434147
84,228516	-55,286167
84,411621	-53,780235
84,594727	-57,167088
84,777832	-66,047447
84,960938	-55,449360
85,144043	-49,414715
85,327148	-48,136433
85,510254	-51,940681
85,693359	-54,604366
85,876465	-53,762905
86,059570	-57,942860
86,242676	-57,757095
86,425781	-52,220428
86,608887	-49,527054
86,791992	-49,557007
86,975098	-51,451641
87,158203	-53,513546
87,341309	-56,451801
87,524414	-55,147629
87,707520	-60,515560
87,890625	-49,238590
88,073730	-51,320057
88,256836	-50,622696
88,439941	-49,503048
88,623047	-48,170700
88,806152	-50,771568
88,989258	-47,090591
89,172363	-45,594872
89,355469	-47,818439
89,538574	-52,549908
89,721680	-57,728733
89,904785	-58,026978
90,087891	-51,533798
90,270996	-48,516415
90,454102	-47,957695
90,637207	-49,884357
90,820313	-50,668980
91,003418	-49,856205
91,186523	-57,361103
91,369629	-50,086201
91,552734	-48,387440
91,735840	-49,036201
91,918945	-45,704998
92,102051	-47,232750
92,285156	-51,804550
92,468262	-60,753975
92,651367	-53,464111
92,834473	-53,094650
93,017578	-54,360008
93,200684	-50,251915
93,383789	-47,201614
93,566895	-50,554039
93,750000	-54,890312
93,933105	-48,762772
94,116211	-54,183758
94,299316	-59,440811
94,482422	-50,768387
94,665527	-49,122860
94,848633	-48,045212
95,031738	-50,206116
95,214844	-57,625801
95,397949	-52,277023
95,581055	-52,608078
95,764160	-50,912529
95,947266	-48,941299
96,130371	-45,828819
96,313477	-51,251431
96,496582	-45,061211
96,679688	-45,150867
96,862793	-48,426987
97,045898	-57,326462
97,229004	-52,999142
97,412109	-49,412563
97,595215	-49,346344
97,778320	-55,802105
97,961426	-49,730072
98,144531	-46,227562
98,327637	-49,153683
98,510742	-46,389355
98,693848	-43,423122
98,876953	-44,069923
99,060059	-45,323059
99,243164	-43,803165
99,426270	-44,307404
99,609375	-46,612881
99,792480	-51,459351
99,975586	-49,562748
100,158691	-48,167152
100,341797	-51,485882
100,524902	-47,051144
100,708008	-44,416344
100,891113	-45,896000
101,074219	-46,841080
101,257324	-48,877914
101,440430	-54,930534
101,623535	-53,294411
101,806641	-49,234379
101,989746	-44,393845
102,172852	-42,340179
102,355957	-44,404728
102,539063	-49,704826
102,722168	-48,951431
102,905273	-45,062710
103,088379	-47,670238
103,271484	-47,774540
103,454590	-45,452229
103,637695	-44,571640
103,820801	-42,934040
104,003906	-43,717384
104,187012	-46,817211
