Fréquence (Hz)	Niveau (dB)
0,244141	-80,250626
0,488281	-80,298080
0,732422	-77,457817
0,976563	-66,323090
1,220703	-59,742222
1,464844	-57,603748
1,708984	-62,115463
1,953125	-64,512817
2,197266	-62,417492
2,441406	-55,650154
2,685547	-51,167850
2,929688	-53,196632
3,173828	-53,856491
3,417969	-57,140148
3,662109	-51,943382
3,906250	-54,414574
4,150391	-61,919518
4,394531	-61,690208
4,638672	-55,535030
4,882813	-57,953945
5,126953	-53,366615
5,371094	-50,650993
5,615234	-51,996513
5,859375	-51,286991
6,103516	-52,606712
6,347656	-56,217224
6,591797	-59,697556
6,835938	-59,767712
7,080078	-54,068897
7,324219	-52,803276
7,568359	-53,124413
7,812500	-51,399933
8,056641	-57,477676
8,300781	-56,759933
8,544922	-51,050705
8,789063	-53,368996
9,033203	-58,420044
9,277344	-55,002785
9,521484	-55,484760
9,765625	-51,276043
10,009766	-49,903408
10,253906	-54,010956
10,498047	-60,025745
10,742188	-53,597355
10,986328	-56,624462
11,230469	-56,412876
11,474609	-50,674438
11,718750	-51,235271
11,962891	-50,566589
12,207031	-46,938393
12,451172	-47,471401
12,695313	-51,536552
12,939453	-57,312748
13,183594	-56,630142
13,427734	-52,910255
13,671875	-54,938725
13,916016	-55,350586
14,160156	-52,591534
14,404297	-53,300343
14,648438	-54,172829
14,892578	-55,587154
15,136719	-53,657646
15,380859	-48,906136
15,625000	-48,961998
15,869141	-54,585911
16,113281	-50,885036
16,357422	-49,202488
16,601563	-50,447910
16,845703	-51,357082
17,089844	-51,845604
17,333984	-53,624615
17,578125	-53,225361
17,822266	-49,889641
18,066406	-50,553711
18,310547	-52,871204
18,554688	-55,427231
18,798828	-53,105282
19,042969	-48,338345
19,287109	-52,167740
19,531250	-61,185612
19,775391	-61,506771
20,019531	-55,733929
20,263672	-51,093235
20,507813	-51,493519
20,751953	-60,063297
20,996094	-53,188587
21,240234	-53,192455
21,484375	-58,348660
21,728516	-54,046471
21,972656	-55,120277
22,216797	-51,351006
22,460938	-50,541981
22,705078	-57,336964
22,949219	-60,006207
23,193359	-59,511883
23,437500	-60,360600
23,681641	-57,963600
23,925781	-53,858578
24,169922	-53,592804
24,414063	-55,334137
24,658203	-52,191513
24,902344	-55,817673
25,146484	-62,231686
25,390625	-54,267326
25,634766	-51,328033
25,878906	-53,405697
26,123047	-58,424122
26,367188	-63,454647
26,611328	-54,645206
26,855469	-51,985332
27,099609	-57,918774
27,343750	-51,186714
27,587891	-55,810669
27,832031	-56,222485
28,076172	-51,853474
28,320313	-52,999928
28,564453	-54,375793
28,808594	-55,156303
29,052734	-58,078365
29,296875	-55,809807
29,541016	-51,472668
29,785156	-51,160954
30,029297	-50,877449
30,273438	-55,371635
30,517578	-55,788940
30,761719	-55,326687
31,005859	-60,812042
31,250000	-58,157013
31,494141	-61,276165
31,738281	-57,712849
31,982422	-62,557232
32,226563	-60,577389
32,470703	-58,187996
32,714844	-51,065826
32,958984	-50,126110
33,203125	-52,264156
33,447266	-54,869267
33,691406	-54,867184
33,935547	-58,700916
34,179688	-57,060349
34,423828	-55,423267
34,667969	-54,587673
34,912109	-57,053921
35,156250	-54,690380
35,400391	-53,052773
35,644531	-53,556309
35,888672	-59,837273
36,132813	-56,718884
36,376953	-53,521191
36,621094	-56,343128
36,865234	-60,487713
37,109375	-68,294716
37,353516	-67,435196
37,597656	-65,134583
37,841797	-59,653088
38,085938	-58,687992
38,330078	-61,294369
38,574219	-64,767227
38,818359	-57,025425
39,062500	-59,801521
39,306641	-64,088181
39,550781	-60,093975
39,794922	-65,452286
40,039063	-63,554527
40,283203	-60,408165
40,527344	-60,043365
40,771484	-61,083996
41,015625	-63,574074
41,259766	-58,864651
41,503906	-55,947147
41,748047	-56,512024
41,992188	-59,179245
42,236328	-61,851341
42,480469	-59,955856
42,724609	-63,694103
42,968750	-65,953468
43,212891	-61,553112
43,457031	-58,253456
43,701172	-59,404091
43,945313	-61,888702
44,189453	-62,023479
44,433594	-66,610733
44,677734	-60,990444
44,921875	-58,184639
45,166016	-59,376957
45,410156	-61,360538
45,654297	-65,034004
45,898438	-62,340740
46,142578	-64,792877
46,386719	-66,370216
46,630859	-67,384811
46,875000	-63,654808
47,119141	-64,085083
47,363281	-67,961746
47,607422	-72,753792
47,851563	-66,649857
48,095703	-64,425606
48,339844	-66,699806
48,583984	-69,482353
48,828125	-70,270676
49,072266	-70,512886
49,316406	-75,258987
49,560547	-81,368660
49,804688	-76,797691
50,048828	-70,824699
50,292969	-70,652168
50,537109	-81,111549
50,781250	-74,414810
51,025391	-73,021263
51,269531	-86,195419
51,513672	-84,329041
51,757813	-84,957176
52,001953	-80,974464
52,246094	-82,305878
52,490234	-83,400650
52,734375	-79,308525
52,978516	-73,869583
53,222656	-72,384018
53,466797	-74,728462
53,710938	-75,297050
53,955078	-72,927979
54,199219	-81,752716
54,443359	-71,208855
54,687500	-73,543503
54,931641	-69,926727
55,175781	-68,914436
55,419922	-71,411995
55,664063	-69,740479
55,908203	-69,161888
56,152344	-63,719391
56,396484	-68,288048
56,640625	-58,599075
56,884766	-60,553146
57,128906	-68,625320
57,373047	-66,427330
57,617188	-62,930096
57,861328	-59,797890
58,105469	-62,764294
58,349609	-58,815350
58,593750	-59,893208
58,837891	-65,870071
59,082031	-60,662701
59,326172	-57,606842
59,570313	-58,027863
59,814453	-67,920349
60,058594	-64,012688
60,302734	-69,284180
60,546875	-57,368935
60,791016	-59,153492
61,035156	-55,289642
61,279297	-55,185783
