Fréquence (Hz)	Niveau (dB)
0,244141	-84,505898
0,488281	-80,439072
0,732422	-74,853279
0,976563	-78,187523
1,220703	-72,897720
1,464844	-65,236542
1,708984	-69,707054
1,953125	-62,818825
2,197266	-64,621628
2,441406	-64,904060
2,685547	-62,209782
2,929688	-66,226189
3,173828	-64,955902
3,417969	-60,829319
3,662109	-59,288357
3,906250	-62,651741
4,150391	-61,357567
4,394531	-60,596359
4,638672	-61,371616
4,882813	-61,509384
5,126953	-63,492744
5,371094	-58,267906
5,615234	-57,877918
5,859375	-64,310059
6,103516	-61,596031
6,347656	-59,042953
6,591797	-55,840012
6,835938	-60,126289
7,080078	-57,994099
7,324219	-57,373215
7,568359	-59,880325
7,812500	-63,204807
8,056641	-61,257729
8,300781	-62,864483
8,544922	-59,781727
8,789063	-63,317135
9,033203	-62,805561
9,277344	-56,608784
9,521484	-55,324577
9,765625	-60,113350
10,009766	-61,772106
10,253906	-60,081497
10,498047	-63,296272
10,742188	-58,262272
10,986328	-56,955853
11,230469	-56,126286
11,474609	-59,614689
11,718750	-62,030006
11,962891	-60,454090
12,207031	-58,896290
12,451172	-58,459358
12,695313	-67,145813
12,939453	-62,584698
13,183594	-63,131260
13,427734	-58,444824
13,671875	-57,267670
13,916016	-59,396317
14,160156	-61,771255
14,404297	-60,598301
14,648438	-67,740776
14,892578	-56,888416
15,136719	-57,477085
15,380859	-59,074097
15,625000	-61,556313
15,869141	-62,415535
16,113281	-55,920864
16,357422	-54,201340
16,601563	-59,937481
16,845703	-58,307949
17,089844	-54,908272
17,333984	-55,648426
17,578125	-55,769333
17,822266	-54,776978
18,066406	-61,377422
18,310547	-59,267513
18,554688	-56,716797
18,798828	-61,560490
19,042969	-60,299454
19,287109	-57,311279
19,531250	-55,442646
19,775391	-59,393135
20,019531	-61,013668
20,263672	-58,928726
20,507813	-58,888187
20,751953	-61,877560
20,996094	-64,007713
21,240234	-61,569599
21,484375	-62,711597
21,728516	-55,928417
21,972656	-58,402626
22,216797	-59,548355
22,460938	-57,934910
22,705078	-60,990025
22,949219	-66,836182
23,193359	-58,964272
23,437500	-61,261154
23,681641	-61,004276
23,925781	-57,344818
24,169922	-60,698898
24,414063	-59,673935
24,658203	-59,136364
24,902344	-68,715004
25,146484	-61,092056
25,390625	-60,858894
25,634766	-64,628891
25,878906	-63,937702
26,123047	-58,820118
26,367188	-54,879047
26,611328	-57,071537
26,855469	-58,080521
27,099609	-61,088268
27,343750	-60,247986
27,587891	-62,635303
27,832031	-63,008236
28,076172	-61,100929
28,320313	-55,888317
28,564453	-58,420761
28,808594	-57,893490
29,052734	-57,753235
29,296875	-58,801243
29,541016	-58,894012
29,785156	-63,130917
30,029297	-65,252090
30,273438	-62,037197
30,517578	-58,525986
30,761719	-62,995102
31,005859	-63,936489
31,250000	-58,795822
31,494141	-59,032703
31,738281	-56,772591
31,982422	-61,449993
32,226563	-62,771790
32,470703	-64,298828
32,714844	-66,143311
32,958984	-66,766991
33,203125	-60,675365
33,447266	-61,265572
33,691406	-63,663261
33,935547	-62,551460
34,179688	-58,001450
34,423828	-62,031715
34,667969	-59,941185
34,912109	-61,171696
35,156250	-61,329903
35,400391	-65,492935
35,644531	-63,969040
35,888672	-61,299492
36,132813	-59,777966
36,376953	-59,069912
36,621094	-63,456993
36,865234	-60,799065
37,109375	-67,720444
37,353516	-60,281837
37,597656	-58,753738
37,841797	-62,844452
38,085938	-61,530014
38,330078	-61,283016
38,574219	-64,251465
38,818359	-62,987160
39,062500	-62,999550
39,306641	-65,168312
39,550781	-63,150917
39,794922	-64,208488
40,039063	-71,916176
40,283203	-63,604935
40,527344	-69,971046
40,771484	-65,339096
41,015625	-62,993561
41,259766	-64,930870
41,503906	-72,550362
41,748047	-62,311306
41,992188	-61,117779
42,236328	-66,152039
42,480469	-68,209373
42,724609	-69,244621
42,968750	-63,475975
43,212891	-66,758629
43,457031	-73,637527
43,701172	-70,589844
43,945313	-66,459625
44,189453	-66,919083
44,433594	-65,626869
44,677734	-63,443230
44,921875	-69,960350
45,166016	-70,835884
45,410156	-64,698280
45,654297	-66,287354
45,898438	-69,840240
46,142578	-68,549538
46,386719	-70,754593
46,630859	-72,026169
46,875000	-70,119797
47,119141	-69,674667
47,363281	-68,324783
47,607422	-67,709541
47,851563	-72,586220
48,095703	-74,314049
48,339844	-73,572136
48,583984	-75,975304
48,828125	-71,730324
49,072266	-76,134743
49,316406	-80,661186
49,560547	-78,197449
49,804688	-80,664253
50,048828	-79,104927
50,292969	-81,291077
50,537109	-84,416588
50,781250	-88,069489
51,025391	-82,631058
51,269531	-84,142677
51,513672	-88,794022
51,757813	-90,530952
52,001953	-94,464165
52,246094	-90,445045
52,490234	-84,302956
52,734375	-81,843346
52,978516	-82,263618
53,222656	-81,041718
53,466797	-85,302330
53,710938	-78,798737
53,955078	-79,321304
54,199219	-78,183609
54,443359	-74,996155
54,687500	-74,073044
54,931641	-72,605835
55,175781	-73,858414
55,419922	-75,351585
55,664063	-71,799332
55,908203	-72,055450
56,152344	-70,591850
56,396484	-70,250877
56,640625	-70,714592
56,884766	-64,571373
57,128906	-67,506485
57,373047	-68,419914
57,617188	-65,806198
57,861328	-66,933044
58,105469	-70,188187
58,349609	-75,258537
58,593750	-64,958908
58,837891	-67,077797
59,082031	-70,534195
59,326172	-69,375267
59,570313	-71,989922
59,814453	-64,723091
60,058594	-60,279762
60,302734	-61,543354
60,546875	-63,822769
60,791016	-61,717606
61,035156	-58,113407
61,279297	-60,130997
61,523438	-68,719109
61,767578	-65,077950
62,011719	-68,034935
62,255859	-69,784119
62,500000	-70,340004
62,744141	-64,994225
62,988281	-62,490421
63,232422	-61,093330
63,476563	-59,540260
63,720703	-62,377491
63,964844	-60,333931
64,208984	-57,255276
64,453125	-62,898949
64,697266	-61,351360
64,941406	-60,751686
65,185547	-61,231602
65,429688	-60,019600
65,673828	-61,212807
65,917969	-63,277008
66,162109	-58,519222
66,406250	-60,502571
66,650391	-58,494953
66,894531	-55,449284
67,138672	-59,124340
67,382813	-55,223038
67,626953	-54,318748
67,871094	-58,637863
68,115234	-61,365559
68,359375	-58,098930
68,603516	-58,147259
68,847656	-55,456635
